,Alcohol,Appellation,Category,Points,Price,Review,Wine,Winery,Year,Variety,State
19,13.9,"Edna Valley, Central Coast, California, US",Red,86,29.0,Very extracted aromas of red currants and all spice show on the ripe nose of this bottling. Muddled plums and berries meet with spice cake on the rich palate.,Balderdash 2014 Joyride Pinot Noir (Edna Valley),Balderdash,2014.0,Pinot Noir,California
20,13.8,"Sierra Foothills, Sierra Foothills, California, US",Red,86,25.0,"This big and rather tart wine has a green streak in the piney, woody aromas and flavors that accompany red-cherry and sour-cherry notes.",Binz 2016 Oleta Vineyard Barbera (Sierra Foothills),Binz,2016.0,Barbera,California
21,13.5,"Mendocino County, Mendocino County, California, US",White,86,21.0,"Rustic and hearty in style, this medium-bodied wine has earthy aromas, strong acidity and flavors like peach skin and grapefruit rind.",Briceland 2017 Spirit Canyon Vineyard Arneis (Mendocino County),Briceland,2017.0,Spirit Canyon Vineyard Arneis,California
22,13.7,Carson Scott,Red,86,15.0,"This wine has fresh fruit flavors and a fair share of vanilla and nutmeg from aging with oak. It feels smooth, medium bodied and soft in structure as little tannin comes through.",Carson Scott 2016 Cabernet Sauvignon (California),Carson Scott,2016.0,Cabernet Sauvignon,
23,14.7,"Fair Play, Sierra Foothills, California, US",Red,86,25.0,"Boasting overripe aromas and flavors of raisins and dried cherries, this wine is full bodied and very broad.",Charles B. Mitchell 2014 Estate Reserve Cabernet Franc (Fair Play),Charles B. Mitchell,2014.0,Cabernet Franc,California
24,14.1,"Russian River Valley, Sonoma, California, US",Red,86,46.0,"This is an austere, earthy and tannic red tangy in strawberry and dark cherry with a lingering taste of hazelnut and oak.",Dutton Estate 2015 Karmen Isabella Pinot Noir (Russian River Valley),Dutton Estate,2015.0,Pinot Noir,California
25,13.7,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,86,24.0,"Aromas of green pepper, black currant, plum and spice are at the fore. The flavors are reserved in style, not staying together throughout but still providing some appeal.",Gordon Estate 2015 Estate Grown Cabernet Sauvignon (Columbia Valley (WA)),Gordon Estate,2015.0,Cabernet Sauvignon,Washington
26,13.7,"Texas, Texas, US",White,86,24.0,"Yellow peach and Mandarin orange peel are shy on the nose. The palate offers bright acidity and flavors of ripe yellow peach, pear, white flower and chalk. Lemon and orange flavors finish with a chalky texture.",Grape Creek Vineyards 2016 Cuvée Blanc White (Texas),Grape Creek Vineyards,2016.0,White Blend,
27,14.6,Gundlach Bundschu,Red,86,35.0,"This wine possesses a hearty helping of tannin and herbal elements that won't appeal to all. Full bodied and concentrated in ripeness, the dried herbs and cedar dominate on the nose and palate. Small amounts of Petit Verdot, Cabernet Sauvignon and Malbec are blended in.",Gundlach Bundschu 2015 Merlot (Sonoma Valley),Gundlach Bundschu,2015.0,Merlot,
28,13.0,"Redwood Valley, Mendocino County, California, US",Rose,86,23.0,"An especially bright copper color make this wine stand out visually, while tart fruit flavors and a very dry crisp texture complete the picture. Moderate in alcohol, it has a lean taste profile, too.",Jigar 2017 Tollini Vineyard Grenache Rosé (Redwood Valley),Jigar,2017.0,Rosé,California
29,14.3,"Red Mountain, Columbia Valley, Washington, US",Red,86,25.0,"This wine is a blend of 38% Merlot, 31% Cabernet Franc, 25% Cabernet Sauvignon and 6% Petit Verdot. Aromas of dried cherry and baking spice lead to tangy, somewhat green seeming fruit flavors that drop off on the finish.",Auclair 2016 96 Cedars Red (Red Mountain),Auclair,2016.0,Red Blend,Washington
30,13.8,Binz,Red,86,25.0,"This medium-bodied wine shows a lot of oak influence in the baking-spice aromas, cedar and vanilla flavors and spicy finish. Under the oak are bright raspberry and cherry flavors.",Binz 2016 Barbera (Sierra Foothills),Binz,2016.0,Barbera,
31,14.3,Caricature,Red,86,15.0,"Obvious oak aromas and an almost sweet sensation on the palate give this wine a sense of wearing plenty of makeup. The texture is broad and soft, and the flavors are like candied cherries.",Caricature 2016 Cabernet Sauvignon (Clarksburg),Caricature,2016.0,Cabernet Sauvignon,
32,13.5,Esser,Red,86,13.0,"Red cherry and turned earth show on the simple but clean nose of this bottling. Tart red fruit and more dusty qualities show on the sip, with a hint of vanilla on the finish.",Esser 2016 Merlot (Monterey County),Esser,2016.0,Merlot,
33,13.5,Esser,White,86,11.0,"Cut grass and pungent green-apple slices make for a familiar entry to the nose of this bottling. The palate starts with Granny Smith apple and nectarine flavors, but they are short-lived and the texture is flat.",Esser 2017 Sauvignon Blanc (Monterey County),Esser,2017.0,Sauvignon Blanc,
34,13.6,Haak,Red,86,35.0,"Aromas of black plum, ripe raspberry, violet, bay leaf, fresh thyme and black pepper spice are savory on the nose. The palate shows tart cranberry and black cherry, with an earthy, herbal undertow. The tannins are soft textured but very drying, while the acidity is tangy with an underripe berry flavor. A leathery tone is introduced on the finish, while the tannins hug the tip of the tongue.",Haak 2016 Touriga Nacional (Texas High Plains),Haak,2016.0,Touriga Nacional,
35,13.0,Jefferson Vineyards,White,86,30.0,"This Viognier is nutty on the nose. A hints of an underripe papaya aroma is followed by a tangy impression on the palate. Oily in feel and full in body, the finish is long and flabby.",Jefferson Vineyards 2017 Viognier (Virginia),Jefferson Vineyards,2017.0,Viognier,
36,14.5,Klinker Brick,Red,86,25.0,"This is a showy brash wine that smells smoky and oaky, has medium body and tastes like wood char, cranberries and vanilla. Not much varietal character comes through but it will please oak lovers.",Klinker Brick 2015 Carignane (Lodi),Klinker Brick,2015.0,Carignane,
37,15.1,"Alexander Valley, Sonoma, California, US",Red,86,26.0,"This wine opens gritty in texture and tannin before softening on the midpalate. Black fruit, cedar, dried herb and black pepper combine for a forceful experience of power and serious ripeness.",La Storia 2016 Block 303 Zinfandel (Alexander Valley),La Storia,2016.0,Zinfandel,California
38,12.0,"Clarksburg, Central Valley, California, US",White,86,15.0,"This is a sweet but light-bodied dessert-style wine that will taste great with cheese, desserts that aren't too sweet, or on its own. It has floral aromas and flavors like apricots and tutti-frutti ice cream, but it also has good acidity to keep it balanced.",LangeTwins 2017 Estate Grown Moscato (Clarksburg),LangeTwins,2017.0,Moscato,California
39,13.9,Luke,Red,86,25.0,"Toast, plum, herb and cherry aromas are followed by light, slightly sweet seeming fruit flavors. The tannins seem quite bunched up, not appearing to have fully ripened, and the fruit concentration a bit light.",Luke 2016 Merlot (Wahluke Slope),Luke,2016.0,Merlot,
40,13.8,"Santa Cruz Mountains, Central Coast, California, US",Red,86,28.95,"The aromas of cedar and cigar box consume the dark fruit on the nose of this bottling. Similar wood-spice and pine-oil flavors are wrapped around the palate, with flashes of black plum and tobacco trying to emerge.",Martin Ranch 2015 J.D. Hurley Cabernet Sauvignon (Santa Cruz Mountains),Martin Ranch,2015.0,Cabernet Sauvignon,California
41,12.5,"Texas High Plains, Texas, US",White,86,19.0,"This Texas Sémillon offers a chalky nose that blends with fresh clementine, lime and pine needles. The light palate is somewhat creamy due to rounded acidity, presenting flavors of lemon juice, crushed stone and a touch of lemongrass. There is some mineral-driven astringency on the finish alongside citrus and white pepper.",Messina Hof 2017 Private Reserve Sémillon (Texas High Plains),Messina Hof,2017.0,Sémillon,
42,15.2,"Yountville, Napa, California, US",Red,86,85.0,This vineyard-designate has a sweet nose of oak and corresponding thick ripe richness on the palate—a full-bodied take that's generous in tannin and flavors of vanilla and coconut.,Rocca 2014 Grigsby Cabernet Sauvignon (Yountville),Rocca,2014.0,Cabernet Sauvignon,California
43,14.4,Blue Victorian Winery,Red,86,42.0,"A heavy oak influence gives this full-bodied wine smoky, charred aromas and flavors that dampen the fruity components that may have been in the grapes. It's bold and spicy.",Blue Victorian Winery 2016 Barbera (Suisun Valley),Blue Victorian Winery,2016.0,Barbera,
44,14.5,Carnivor,Red,86,15.0,"A deep, dark color and deep, dark flavors steal the show in this extra-ripe and extremely spicy wine. Oak is the star, as cedar, clove, vanilla, cinnamon and smoke notes pervade the aromas, flavors and finish.",Carnivor 2016 Zinfandel (California),Carnivor,2016.0,Zinfandel,
45,14.9,"Lodi, Central Valley, California, US",Red,86,10.0,"Soft-textured and definitely fruity, this easy-going non-oaky wine is charming for its fresh raspberry aromas and red-fruit flavors. The texture is smooth and non-tannic.",Collier Creek 2016 Old Press Zinfandel (Lodi),Collier Creek,2016.0,Zinfandel,California
46,13.5,Formation,Red,86,14.99,"Quite light in the glass, this twist-top bottling shows hints of hibiscus, cranberry and damp herbs on the nose. The palate offers tart flavors of tomato and orange rind, lifted by fresh herbs.",Formation 2015 Pinot Noir (Monterey),Formation,2015.0,Pinot Noir,
47,12.2,Gray Ghost,White,86,18.0,"Fresh honeydew, aloe and juniper flavors mingle in this medium-bodied Vidal Blanc, while the nose is fainter, with soft notes of lemon and limestone. There's a sweetness to the wine, but it's tempered by a spicy strain that helps keep it aloft. This is an easy, approachable wine.",Gray Ghost 2017 Vidal Blanc (Virginia),Gray Ghost,2017.0,Vidal Blanc,
48,12.5,"Texas, Texas, US",White,86,10.0,"Aromas of orange blossoms, lemon peels and yellow apples are pleasant on the nose. The palate offers ripe orange, lime juice and lime leaves, but the dry finish is astringent and sweeps away those juicy citrus flavors.",Llano Estacado 2017 Signature Series Pinot Grigio (Texas),Llano Estacado,2017.0,Pinot Grigio,
49,13.5,"Texas, Texas, US",Rose,86,10.0,"Aromas of lemon oil and citrus blossom are wrapped in an herbal haze on the nose of this Sauvignon Blanc that's blended with 23% Chenin Blanc and 1% each of Marsanne and Viognier. The palate is dry and astringent, with spry lemon-lime acidity and flavors of ripe apple, blossoms and a whisper of salinity.",Llano Estacado 2017 Signature Series Sauvignon Blanc (Texas),Llano Estacado,2017.0,Sauvignon Blanc,
50,14.8,"Horse Heaven Hills, Columbia Valley, Washington, US",Red,86,44.0,"Light aromas of cherry, vanilla and spice lead to full-bodied fruit flavors backed by dry, grippy tannins that come off as quite aggressive out of the gate but calm down a bit with a day open.",Maryhill 2015 Vineyard Series McKinley Springs Vineyard Cabernet Sauvignon (Horse Heaven Hills),Maryhill,2015.0,Cabernet Sauvignon,Washington
51,14.5,Maxville,White,86,34.0,"Floral and herbal, this wine offers bright, persistent acidity around a full-bodied embrace of ripe peach and pineapple.",Maxville 2016 Sauvignon Blanc (Napa Valley),Maxville,2016.0,Sauvignon Blanc,
52,13.5,"Mendocino, Mendocino County, California, US",White,86,14.0,"The aromas of this medium-bodied wine overflow with apples and peaches, and the flavors are crisp, fruity and clean. The mouthfeel is rather rich for the varietal and backed by a nip of good acidity.",Parducci 2017 Small Lot Pinot Gris (Mendocino),Parducci,2017.0,Pinot Gris,California
53,13.5,The Seeker,White,86,14.0,"An earthy, buttery aroma leads to warm peach and spice flavors. This wine has a nicely rich texture and is light on fruitiness and acidity.",The Seeker 2016 Chardonnay (California),The Seeker,2016.0,Chardonnay,
54,12.6,"Virginia, Virginia, US",Red,86,38.0,"This wine is fruity in nature, with soft tannins, oak spice and red-berry flavors. It has a juicy aftertaste that blends with the fruitiness.",Veramar 2017 JB Winemaker Series Tannat (Virginia),Veramar,2017.0,Tannat,
55,12.6,Wilson Creek,White,86,30.0,"Strong lemon-peel, Pink Lady apple and orange-blossom aromas show on the nose of this bottling. The palate starts slightly sweet and grows much sweeter toward the finish, with ripe pear and apple flavors, but not much acidity.",Wilson Creek 2016 Orange Muscat (California),Wilson Creek,2016.0,Orange Muscat,
56,14.2,"Carneros, Napa-Sonoma, California, US",White,86,40.0,"A broadly defined, simply structured white, this has expansive richness on the palate and measured acidity on offer. Green apple, lime and lemon custard provide varietal character.",WindVane 2016 Estate Grown Chardonnay (Carneros),WindVane,2016.0,Chardonnay,California
57,14.0,Telios,Red,86,15.0,"This medium-bodied wine has good fresh fruit flavors that verge on jammy, boosted by a sweet-seeming oak character that includes vanilla, maple and brown sugar accents. It's smooth in texture and light in tannin content for this varietal.",Telios 2016 Cabernet Sauvignon (Lodi),Telios,2016.0,Cabernet Sauvignon,
58,14.6,"Red Mountain, Columbia Valley, Washington, US",Red,85,45.0,"Baking spice, vanilla, licorice and dried cherry aromas are followed by dried-out-seeming fruit flavors. Dry tannins and cranberry flavors fill it out. It seems quite evolved for its age.",Auclair 2015 Heart of the Hill Vineyard Cabernet Sauvignon (Red Mountain),Auclair,2015.0,Cabernet Sauvignon,Washington
59,15.2,"Paso Robles, Central Coast, California, US",Red,85,35.0,Overextracted aromas of tangy black plum and blackberry jam show on the nose of this bottling. Ripe flavors of black-plum juice prove too tangy and nearly vinegar-like.,Balderdash 2014 49 Mulberry Merlot (Paso Robles),Balderdash,2014.0,Merlot,California
60,13.7,"Columbia Valley (WA), Columbia Valley, Washington, US",Red,85,21.0,"Aromas of soil, violet, herb and cherry lead to medium-bodied fruit flavors that trail on the finish. It seems slightly evolved for its age.",Gordon Estate 2014 Estate Grown Petit Verdot (Columbia Valley (WA)),Gordon Estate,2014.0,Petit Verdot,Washington
61,12.0,"Texas, Texas, US",White,85,20.0,"Pear and apricot aromas are joined by a soapy gardenia note. The palate is ripe and loaded with peach, guava, lemon and rose. Blood orange acidity moves to a finish of apple and blossoms.",Landon 2016 Bingham Family Vineyards Viognier (Texas),Landon,2016.0,Viognier,
62,12.5,"Lodi, Central Valley, California, US",White,85,17.0,"This light-bodied wine is grassy in aroma, has lean veggie and lemon flavors and a fairly crisp mouthfeel.",LangeTwins 2017 Estate Grown Musqué Clone Sauvignon Blanc (Lodi),LangeTwins,2017.0,Sauvignon Blanc,California
63,12.5,"Texas, Texas, US",White,85,19.0,"A floral and herbal nose delivers rose, white pepper and lime. The palate offers plenty of acidity but is gentle and soft in feel, with ripe lime and grapefruit flavors that are rounded out by a blossomy note. A dry, citrus finish shows astringent acidity and a white pepper tone.",Messina Hof 2017 Dry Style Pinot Blanc (Texas),Messina Hof,2017.0,Pinot Blanc,
64,14.5,"Lodi, Central Valley, California, US",Red,85,26.0,"An abundance of sweet-seeming, spicy oak fills the aroma and smothers the fruit flavors in this spice cabinet of a wine. It has lots of vanilla, ginger, nutmeg and maple flavors and full body.",Moss Roxx 2015 Ancient Vine Reserve Zinfandel (Lodi),Moss Roxx,2015.0,Zinfandel,California
65,13.5,Olelo,Red,85,15.0,"Light-red fruit, crushed gravel and a hint of gunmetal aromas show on the nose of this bottling. It's lighter bodied on the palate with lots of turned soil flavors and just a touch of red fruit.",Olelo 2016 Merlot (Paso Robles),Olelo,2016.0,Merlot,
66,13.9,Ballard Lane,White,85,12.0,"A slightly darker shade of yellow in the glass, this bottling shows dried apple, wet hay and orange touches on the nose. The palate offers apple, pear and lime flavors, but without much texture or energy.",Ballard Lane 2017 Sauvignon Blanc (Santa Barbara County),Ballard Lane,2017.0,Sauvignon Blanc,
67,13.5,Dirt Diva,Red,85,14.0,"There is beautiful packaging on this bottle, yet it contains less-than-beautiful wine. Aromas of vinegar-laced cranberry sauce leads into tangy cooked cranberry flavors on the sip.",Dirt Diva 2015 Red (Paso Robles),Dirt Diva,2015.0,Red,
68,12.5,Farmhouse,White,85,13.0,"This wine has a pink tinge in the color and strong floral and fruity aromas. It is peachy in flavor, light in body and slightly sweet, making it an aromatic, picnic-style wine.",Farmhouse 2017 White (California),Farmhouse,2017.0,White,
69,11.0,Grape Creek Vineyards,White,85,22.0,"Perfumed notes of rose and lily are joined by lime zest and candied orange on the nose of this refreshing, but simple Riesling. On the light footed and playful palate there is an orange flavored sweetness throughout, with notes of tart green apple, ripe lemon and pear. There are some chalky, mineral notes that quietly add depth to the palate, while ripe grapefruit and lime round out the finish.",Grape Creek Vineyards 2016 Riesling (Texas),Grape Creek Vineyards,2016.0,Riesling,
70,14.5,Kenwood,White,85,14.0,"Golden in color, this wine opens bright and fresh on the nose before providing a lush, creamy and fruit-forward experience of indelible ripeness on the palate.",Kenwood 2017 Pinot Gris (Russian River Valley),Kenwood,2017.0,Pinot Gris,
71,14.6,"Paso Robles, Central Coast, California, US",Rose,85,18.0,"A rusty shade of pink, this bottling, which includes 10% Picpoul Blanc, shows cooked cherries and baking spice on the nose. The palate is full of watery cherries.",Kula 2017 Rosé of Syrah (Paso Robles),Kula,2017.0,Syrah,California
72,13.5,"Monticello, Virginia, US",White,85,22.0,"A fairly dark shade of rusty gold in the glass, this bottling starts with aromas of toasted nuts and baked bread. The palate comes across more fresh, showing tangy lemon rind, unsweetened iced tea and more nutty qualities.",Lovingston 2016 Janet's Block Chardonnay (Monticello),Lovingston,2016.0,Chardonnay,
73,14.68,"Lodi, Central Valley, California, US",White,85,21.0,"This is a good, basic wine with modest amounts of fruitiness and butteriness mingling on a medium body. A chalky, earthy note comes in on the midpalate and lingers.",Viaggio 2016 Buttercup Chardonnay (Lodi),Viaggio,2016.0,Chardonnay,California
74,12.5,Fetzer,White,85,10.0,"Light in color and flavor, this wine smells tangy and citrus-like, and tastes lean and low in fruit and acidity. It's clean and simple in character.",Fetzer 2017 Sauvignon Blanc (California),Fetzer,2017.0,Sauvignon Blanc,
75,14.0,Jack's House,Red,85,15.0,This wine seems sweet due to candied-fruit aromas and flavors and oaky spices like vanilla and maple. It is medium bodied and soft in texture for the varietal.,Jack's House 2016 Cabernet Sauvignon (California),Jack's House,2016.0,Cabernet Sauvignon,
76,13.6,"Texas High Plains, Texas, US",Red,85,20.0,"The nose offers aromas of Marasca cherry, candied orange and sharp angostura bitters over subtler tones of sawdust and aged oak. Fairly tart upfront in flavors of plum and red cherry, the palate is bolstered by sandy tannins and tangy acidity.",Llano Estacado 2014 THP Montepulciano (Texas High Plains),Llano Estacado,2014.0,Montepulciano,
77,14.2,"Rattlesnake Hills, Columbia Valley, Washington, US",Red,85,36.0,"High-toned apple and cherry aromas are followed by a scratchy feeling palate marked by gritty tannins. The tannins don't seem to have fully ripened, and the variety is hard to find.",Maryhill 2015 Elephant Mountain Vineyard Cabernet Franc (Rattlesnake Hills),Maryhill,2015.0,Cabernet Franc,Washington
78,13.7,Gray Ghost,White,85,19.0,"Muted in a nutty aroma, this approachable wine doesn't offer much in fruity or floral notes. It shows a lighter take on the palate as well, where lemon, almond skin and lees tones are subdued. Soft and thin in mouthfeel, it has a short, but friendly finish.",Gray Ghost 2017 Chardonnay (Virginia),Gray Ghost,2017.0,Chardonnay,
79,14.1,"Napa Valley, Napa, California, US",White,85,35.0,"This wine is viscous and sweetly ripe in baked apple and honey flavors, with a thickness that persists.",Hailstone Vineyards 2017 32 Degrees Sauvignon Blanc (Napa Valley),Hailstone Vineyards,2017.0,Sauvignon Blanc,California
80,13.0,"Monticello, Virginia, US",White,85,35.0,"Tight aromas of banana, white grape and juniper show on the nose of this Viognier. The ripe yet racy palate is framed by decent acidity, while delivering flavors of pastille candies and melon.",Jefferson Vineyards 2017 Jefferson's Own Estate Reserve Viognier (Monticello),Jefferson Vineyards,2017.0,Viognier,
81,11.3,"California, California Other, California, US",White,85,17.0,"This is a good picnic wine to serve with cheese or salty snacks. It's sweet, smooth and very fruity, with medium body, low alcohol and soft acidity.",Jessie's Grove 2017 Jessie's Collection Orange Muscat (California),Jessie's Grove,2017.0,Orange Muscat,California
82,12.1,Maryhill,White,85,16.0,"The aromas seem muddled, needing more clarity. The palate drinks medium-plus sweet, with peach and orange flavors. It doesn't all come together, living off the sugar.",Maryhill 2017 Riesling (Columbia Valley (WA)),Maryhill,2017.0,Riesling,
83,12.1,James Charles,Red,85,30.0,"This wine offers jammy blueberry and lavender aromas that are tinged with brett. The palate brings high-octane flavors, supported by racy acidity that both demand more tannic structure and complexity in mouthfeel.",James Charles 2017 Cabernet Sauvignon (Virginia),James Charles,2017.0,Cabernet Sauvignon,
84,13.9,"Texas, Texas, US",Red,85,35.0,"Aromas of fur, rubber and black plum take on a feral character. Concentrated tannins are a brutish gatekeeper, settling on the front of the palate ahead of flavors of black plum, cassis, vanilla and baking spice. The tannins are the guiding force through the spicy finish that carries nutmeg and black fruit.",Llano Estacado 2014 1836 Red (Texas),Llano Estacado,2014.0,Red Blend,
85,15.2,"Wahluke Slope, Columbia Valley, Washington, US",Red,85,40.0,"The aromas offer notes of toast, spice and dark fruit. Despite the higher alcohol level, the flavors are somewhat lighter in style, a touch sweet but straight down the fairway, with a tangy finish. It's a straightforward, easy drinker.",Maryhill 2015 Vineyard Series Clifton Hill Vineyard Cabernet Sauvignon (Wahluke Slope),Maryhill,2015.0,Cabernet Sauvignon,Washington
86,14.4,"Russian River Valley, Sonoma, California, US",Red,85,45.0,This wine is simple in structure with a medium-bodied richness of juicy red fruit.,Merriam 2013 Windacre Vineyard Cabernet Franc (Russian River Valley),Merriam,2013.0,Cabernet Franc,California
87,13.5,Seven Daughters,Red,85,15.0,This medium-bodied wine has an earthy overtone at first sip and then generally ripe and plummy flavors that are straightforward but lightly accented by vanilla. It feels smooth in texture.,Seven Daughters 2015 Cabernet Sauvignon (California),Seven Daughters,2015.0,Cabernet Sauvignon,
88,12.5,Slater Run,Red,85,26.0,"Gentle in texture and in flavor, this wine is medium bodied, rather soft in mouthfeel and has ripe strawberry and raspberry notes. The finish is pleasant but short.",Slater Run 2017 Cabernet Franc (Virginia),Slater Run,2017.0,Cabernet Franc,
89,11.5,"Warren Hills, New Jersey, US",White,84,19.0,"Perfumed and floral aromas are joined by lychee, citrus and sugar plum on the nose. Lemon juice and grapefruit pith are highlighted by pineapple acidity, florals and grassiness on the straightforward palate, finishing with lemon pith and wet stone.",Alba 2016 Dry Riesling (Warren Hills),Alba,2016.0,Riesling,
90,13.3,"Sonoma Valley, Sonoma, California, US",Red,84,45.0,"This wine tastes slightly underripe, with herbal elements of bell pepper. It is made entirely from one variety, and its oak is subtle and supportive.",Doren 2015 Doren Vineyard Cabernet Sauvignon (Sonoma Valley),Doren,2015.0,Cabernet Sauvignon,California
91,15.2,"Napa Valley, Napa, California, US",Red,95,130.0,"A woody and herbal nose follows through to the structured, rich palate, along with sage and cedar. Black cherry and currant define the flavors, while toasted oak lends support. The blend is 47% Cabernet Sauvignon, 33% Merlot, 10% Cabernet Franc, 6% Petit Verdot and 4% Malbec. Enjoy 2025–2030.",Kenzo Estate 2015 Rindo Estate Bottled Red (Napa Valley),Kenzo Estate,2015.0,Red Blend,California
