,Unnamed: 0,Unnamed: 0.1,Alcohol,Appellation,Bottlesize,Category,Points,Price,Review,Url,Variety,Wine,Winery,Unnamed: 0.1.1,Unnamed: 0.1.1.1
10,10,10.0,14.7%,Bravante,750 ml,Red,86,"$75,  Buy Now","Dusty with highlights of cedar and sage, this full-bodied wine presents as somewhat dull on the palate—a soft, rounded and approachable expression of jammy blueberry.",https://www.winemag.com/buying-guide/bravante-2013-cabernet-franc-howell-mountain-303364/,Howell Mountain,Bravante 2013 Cabernet Franc (Howell Mountain),Bravante,,
11,11,11.0,13.5%,Esser,750 ml,White,86,"$14,  Buy Now",Yellow apple and sweet oak aromas make for a pleasant if not particularly complex aromatic entry to this bottling. Ripe apple and pear meet with sweet buttercream on the palate.,https://www.winemag.com/buying-guide/esser-2016-chardonnay-monterey-county-303009/,Monterey County,Esser 2016 Chardonnay (Monterey County),Esser,,
12,12,12.0,14.7%,"Stags Leap District, Napa, California, US",750 ml,Red,86,"$22,  Buy Now","This is a full-bodied, boldly ripe Cabernet Sauvignon. Soft layers of dark cherry and plum are well integrated and contrasted against dusty crushed rock and toasted oak.",https://www.winemag.com/buying-guide/kirkland-signature-2015-signature-series-cabernet-sauvignon-stags-leap-district/,Cabernet Sauvignon,Kirkland Signature 2015 Signature Series Cabernet Sauvignon (Stags Leap District),Kirkland Signature,,
13,13,13.0,13.5%,Malibu Rocky Oaks,750 ml,Rose,86,"$18,  Buy Now","A deep shade of pink, this bottling from Pinot Noir grapes shows very subtle red-fruit aromas on the nose. There is decent texture on the sip, but the flavors are muddled and slightly rusty.",https://www.winemag.com/buying-guide/malibu-rocky-oaks-2017-rose-central-coast-303861/,Central Coast,Malibu Rocky Oaks 2017 Rosé (Central Coast),Malibu Rocky Oaks,,
14,14,14.0,13.5%,"Texas, Texas, US",750 ml,Red,86,"$25,  Buy Now","Aromas of ripe blueberry and blackberry mingle with vanilla and pumpkin spice on the nose. The fruit forward palate shows plum and cranberry backed by dried leaves, nutmeg and vanilla. The tannins are dusty yet structured, while the acidity is tied to the berry flavors and weaves in and out. It finishes with a tart berry flavor loaded with cracked pepper and earthy.",https://www.winemag.com/buying-guide/messina-hof-2015-private-reserve-double-barrel-merlot-texas/,Merlot,Messina Hof 2015 Private Reserve Double Barrel Merlot (Texas),Messina Hof,,
15,15,15.0,15.5%,"Sonoma County, Sonoma, California, US",750 ml,Red,86,"$21,  Buy Now",Brawny fruit is overwhelmed by smoke and charred oak in this thickly tannic wine that has a jammy core of blackberry and marshmallow flavor.,https://www.winemag.com/buying-guide/murphy-goode-2014-liars-dice-zinfandel-sonoma-county/,Zinfandel,Murphy-Goode 2014 Liar's Dice Zinfandel (Sonoma County),Murphy-Goode,,
16,16,16.0,13%,"California, California Other, California, US",750 ml,White,86,"$9,  Buy Now","Pear, butter and vanilla aromas lead to a soft, rich texture and tasty fruit flavors. The wine is medium in weight, low in acidity and easy on the palate.",https://www.winemag.com/buying-guide/oak-grove-2017-family-reserve-chardonnay-california/,Chardonnay,Oak Grove 2017 Family Reserve Chardonnay (California),Oak Grove,,
17,17,17.0,13.7%,Old Soul,750 ml,Red,86,"$15,  Buy Now","This is an easygoing, fruity wine that shows sweet-oak aromas, a soft texture and candy-like flavors of cherries and raspberries. The body is medium, tannins are light and it finishes with a sense of sweetness.",https://www.winemag.com/buying-guide/old-soul-2016-cabernet-sauvignon-california/,California,Old Soul 2016 Cabernet Sauvignon (California),Old Soul,,
18,18,18.0,15.1%,"Napa Valley, Napa, California, US",750 ml,Red,86,"$85,  Buy Now",This has a wealth of cherry cola flavor that brushes up against varietal black currant and cedar. It takes on a lush brawny ripeness that overwhelms and opts for fruit flavor over structure.,https://www.winemag.com/buying-guide/raymond-2015-lve-cabernet-sauvignon-napa-valley/,Cabernet Sauvignon,Raymond 2015 LVE Cabernet Sauvignon (Napa Valley),Raymond,,
19,19,19.0,15.1%,"Russian River Valley, Sonoma, California, US",750 ml,Red,86,"$45,  Buy Now","Floral and quite cherry-berry in fruity flavor, this wine has mild structure and generous tannin, with a midpalate bursting in earthy oak.",https://www.winemag.com/buying-guide/v-sattui-2015-battaglini-vineyard-ancient-vine-zinfandel-russian-river-valley/,Zinfandel,V. Sattui 2015 Battaglini Vineyard Ancient Vine Zinfandel (Russian River Valley),V. Sattui,,
20,20,20.0,13.9%,"Edna Valley, Central Coast, California, US",750 ml,Red,86,"$29,  Buy Now",Very extracted aromas of red currants and all spice show on the ripe nose of this bottling. Muddled plums and berries meet with spice cake on the rich palate.,https://www.winemag.com/buying-guide/balderdash-2014-joyride-pinot-noir-edna-valley-303825/,Pinot Noir,Balderdash 2014 Joyride Pinot Noir (Edna Valley),Balderdash,,
21,21,21.0,13.8%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red,86,"$25,  Buy Now","This big and rather tart wine has a green streak in the piney, woody aromas and flavors that accompany red-cherry and sour-cherry notes.",https://www.winemag.com/buying-guide/binz-2016-oleta-vineyard-barbera-sierra-foothills-303259/,Barbera,Binz 2016 Oleta Vineyard Barbera (Sierra Foothills),Binz,,
22,22,22.0,13.5%,"Mendocino County, Mendocino County, California, US",750 ml,White,86,"$21,  Buy Now","Rustic and hearty in style, this medium-bodied wine has earthy aromas, strong acidity and flavors like peach skin and grapefruit rind.",https://www.winemag.com/buying-guide/briceland-2017-spirit-canyon-vineyard-arneis-mendocino-county/,Arneis,Briceland 2017 Spirit Canyon Vineyard Arneis (Mendocino County),Briceland,,
23,23,23.0,13.7%,Carson Scott,750 ml,Red,86,"$15,  Buy Now","This wine has fresh fruit flavors and a fair share of vanilla and nutmeg from aging with oak. It feels smooth, medium bodied and soft in structure as little tannin comes through.",https://www.winemag.com/buying-guide/carson-scott-2016-cabernet-sauvignon-california/,California,Carson Scott 2016 Cabernet Sauvignon (California),Carson Scott,,
24,24,24.0,14.7%,"Fair Play, Sierra Foothills, California, US",750 ml,Red,86,"$25,  Buy Now","Boasting overripe aromas and flavors of raisins and dried cherries, this wine is full bodied and very broad.",https://www.winemag.com/buying-guide/charles-b-mitchell-2014-estate-reserve-cabernet-franc-fair-play/,Cabernet Franc,Charles B. Mitchell 2014 Estate Reserve Cabernet Franc (Fair Play),Charles B. Mitchell,,
25,25,25.0,14.1%,"Russian River Valley, Sonoma, California, US",750 ml,Red,86,"$46,  Buy Now","This is an austere, earthy and tannic red tangy in strawberry and dark cherry with a lingering taste of hazelnut and oak.",https://www.winemag.com/buying-guide/dutton-estate-2015-karmen-isabella-pinot-noir-russian-river-valley/,Pinot Noir,Dutton Estate 2015 Karmen Isabella Pinot Noir (Russian River Valley),Dutton Estate,,
26,26,26.0,13.7%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red,86,"$24,  Buy Now","Aromas of green pepper, black currant, plum and spice are at the fore. The flavors are reserved in style, not staying together throughout but still providing some appeal.",https://www.winemag.com/buying-guide/gordon-estate-2015-estate-grown-cabernet-sauvignon-columbia-valley-wa-304178/,Cabernet Sauvignon,Gordon Estate 2015 Estate Grown Cabernet Sauvignon (Columbia Valley (WA)),Gordon Estate,,
27,27,27.0,13.7%,"Texas, Texas, US",750 ml,White,86,"$24,  Buy Now","Yellow peach and Mandarin orange peel are shy on the nose. The palate offers bright acidity and flavors of ripe yellow peach, pear, white flower and chalk. Lemon and orange flavors finish with a chalky texture.",https://www.winemag.com/buying-guide/grape-creek-vineyards-2016-cuvee-blanc-white-texas/,White Blend,Grape Creek Vineyards 2016 Cuvée Blanc White (Texas),Grape Creek Vineyards,,
28,28,28.0,14.6%,Gundlach Bundschu,750 ml,Red,86,"$35,  Buy Now","This wine possesses a hearty helping of tannin and herbal elements that won't appeal to all. Full bodied and concentrated in ripeness, the dried herbs and cedar dominate on the nose and palate. Small amounts of Petit Verdot, Cabernet Sauvignon and Malbec are blended in.",https://www.winemag.com/buying-guide/gundlach-bundschu-2015-merlot-sonoma-valley-303188/,Sonoma Valley,Gundlach Bundschu 2015 Merlot (Sonoma Valley),Gundlach Bundschu,,
29,29,29.0,13%,"Redwood Valley, Mendocino County, California, US",750 ml,Rose,86,"$23,  Buy Now","An especially bright copper color make this wine stand out visually, while tart fruit flavors and a very dry crisp texture complete the picture. Moderate in alcohol, it has a lean taste profile, too.",https://www.winemag.com/buying-guide/jigar-2017-tollini-vineyard-grenache-rose-redwood-valley-303773/,Rosé,Jigar 2017 Tollini Vineyard Grenache Rosé (Redwood Valley),Jigar,,
30,30,30.0,14.8%,"Napa Valley, Napa, California, US",750 ml,Red,86,"N/A,  Buy Now","This wine has a touch of reduction that makes it hard to fully delve into, a well as a thickly tannic character of ripeness that quietly exudes notions of blackberry and vanilla.",https://www.winemag.com/buying-guide/saddleback-2016-old-vines-zinfandel-napa-valley-304631/,Zinfandel,Saddleback 2016 Old Vines Zinfandel (Napa Valley),Saddleback,,
31,31,31.0,14.3%,"Red Mountain, Columbia Valley, Washington, US",750 ml,Red,86,"$25,  Buy Now","This wine is a blend of 38% Merlot, 31% Cabernet Franc, 25% Cabernet Sauvignon and 6% Petit Verdot. Aromas of dried cherry and baking spice lead to tangy, somewhat green seeming fruit flavors that drop off on the finish.",https://www.winemag.com/buying-guide/auclair-2016-96-cedars-red-red-mountain-304193/,Bordeaux-style Red Blend,Auclair 2016 96 Cedars Red (Red Mountain),Auclair,,
32,32,32.0,13.8%,Binz,750 ml,Red,86,"$25,  Buy Now","This medium-bodied wine shows a lot of oak influence in the baking-spice aromas, cedar and vanilla flavors and spicy finish. Under the oak are bright raspberry and cherry flavors.",https://www.winemag.com/buying-guide/binz-2016-barbera-sierra-foothills-303282/,Sierra Foothills,Binz 2016 Barbera (Sierra Foothills),Binz,,
33,33,33.0,14.3%,Caricature,750 ml,Red,86,"$15,  Buy Now","Obvious oak aromas and an almost sweet sensation on the palate give this wine a sense of wearing plenty of makeup. The texture is broad and soft, and the flavors are like candied cherries.",https://www.winemag.com/buying-guide/caricature-2016-cabernet-sauvignon-clarksburg/,Clarksburg,Caricature 2016 Cabernet Sauvignon (Clarksburg),Caricature,,
34,34,34.0,13.5%,Esser,750 ml,Red,86,"$13,  Buy Now","Red cherry and turned earth show on the simple but clean nose of this bottling. Tart red fruit and more dusty qualities show on the sip, with a hint of vanilla on the finish.",https://www.winemag.com/buying-guide/esser-2016-merlot-monterey-county-303515/,Monterey County,Esser 2016 Merlot (Monterey County),Esser,,
35,35,35.0,13.5%,Esser,750 ml,White,86,"$11,  Buy Now","Cut grass and pungent green-apple slices make for a familiar entry to the nose of this bottling. The palate starts with Granny Smith apple and nectarine flavors, but they are short-lived and the texture is flat.",https://www.winemag.com/buying-guide/esser-2017-sauvignon-blanc-monterey-county-303169/,Monterey County,Esser 2017 Sauvignon Blanc (Monterey County),Esser,,
36,36,36.0,13.6%,Haak,750 ml,Red,86,"$35,  Buy Now","Aromas of black plum, ripe raspberry, violet, bay leaf, fresh thyme and black pepper spice are savory on the nose. The palate shows tart cranberry and black cherry, with an earthy, herbal undertow. The tannins are soft textured but very drying, while the acidity is tangy with an underripe berry flavor. A leathery tone is introduced on the finish, while the tannins hug the tip of the tongue.",https://www.winemag.com/buying-guide/haak-2016-touriga-nacional-texas-high-plains-303429/,Texas High Plains,Haak 2016 Touriga Nacional (Texas High Plains),Haak,,
37,37,37.0,13%,Jefferson Vineyards,750 ml,White,86,"$30,  Buy Now","This Viognier is nutty on the nose. A hints of an underripe papaya aroma is followed by a tangy impression on the palate. Oily in feel and full in body, the finish is long and flabby.",https://www.winemag.com/buying-guide/jefferson-vineyards-2017-viognier-virginia/,Virginia,Jefferson Vineyards 2017 Viognier (Virginia),Jefferson Vineyards,,
38,38,38.0,14.5%,Klinker Brick,750 ml,Red,86,"$25,  Buy Now","This is a showy brash wine that smells smoky and oaky, has medium body and tastes like wood char, cranberries and vanilla. Not much varietal character comes through but it will please oak lovers.",https://www.winemag.com/buying-guide/klinker-brick-2015-carignane-lodi/,Lodi,Klinker Brick 2015 Carignane (Lodi),Klinker Brick,,
39,39,39.0,15.1%,"Alexander Valley, Sonoma, California, US",750 ml,Red,86,"$26,  Buy Now","This wine opens gritty in texture and tannin before softening on the midpalate. Black fruit, cedar, dried herb and black pepper combine for a forceful experience of power and serious ripeness.",https://www.winemag.com/buying-guide/la-storia-2016-block-303-zinfandel-alexander-valley-304601/,Zinfandel,La Storia 2016 Block 303 Zinfandel (Alexander Valley),La Storia,,
40,40,40.0,12%,"Clarksburg, Central Valley, California, US",750 ml,White,86,"$15,  Buy Now","This is a sweet but light-bodied dessert-style wine that will taste great with cheese, desserts that aren't too sweet, or on its own. It has floral aromas and flavors like apricots and tutti-frutti ice cream, but it also has good acidity to keep it balanced.",https://www.winemag.com/buying-guide/langetwins-2017-estate-grown-moscato-clarksburg/,Moscato,LangeTwins 2017 Estate Grown Moscato (Clarksburg),LangeTwins,,
41,41,41.0,13.9%,Luke,750 ml,Red,86,"$25,  Buy Now","Toast, plum, herb and cherry aromas are followed by light, slightly sweet seeming fruit flavors. The tannins seem quite bunched up, not appearing to have fully ripened, and the fruit concentration a bit light.",https://www.winemag.com/buying-guide/luke-2016-merlot-wahluke-slope-304238/,Wahluke Slope,Luke 2016 Merlot (Wahluke Slope),Luke,,
42,42,42.0,13.8%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red,86,"$28.95,  Buy Now","The aromas of cedar and cigar box consume the dark fruit on the nose of this bottling. Similar wood-spice and pine-oil flavors are wrapped around the palate, with flashes of black plum and tobacco trying to emerge.",https://www.winemag.com/buying-guide/martin-ranch-2015-j-d-hurley-cabernet-sauvignon-santa-cruz-mountains-303855/,Cabernet Sauvignon,Martin Ranch 2015 J.D. Hurley Cabernet Sauvignon (Santa Cruz Mountains),Martin Ranch,,
43,43,43.0,13.9%,McPherson,750 ml,Red,86,"N/A,  Buy Now","The nose shows ripe black plum, blackberry, herbs and stale pepper, while the palate offers blueberry, raspberry, oak and cocoa powder. The cranberry-laced finish displays the easygoing grip of crushed-velvet tannins.",https://www.winemag.com/buying-guide/mcpherson-2015-tempranillo-texas/,Texas,McPherson 2015 Tempranillo (Texas),McPherson,,
44,44,44.0,12.5%,"Texas High Plains, Texas, US",750 ml,White,86,"$19,  Buy Now","This Texas Sémillon offers a chalky nose that blends with fresh clementine, lime and pine needles. The light palate is somewhat creamy due to rounded acidity, presenting flavors of lemon juice, crushed stone and a touch of lemongrass. There is some mineral-driven astringency on the finish alongside citrus and white pepper.",https://www.winemag.com/buying-guide/messina-hof-2017-private-reserve-semillon-texas-high-plains/,Sémillon,Messina Hof 2017 Private Reserve Sémillon (Texas High Plains),Messina Hof,,
45,45,45.0,13.2%,Resign,750 ml,Rose,86,"$17,  Buy Now",A rather deep copper color and a combination of savory and fruity flavors make this medium-bodied wine a little more serious and substantial than many. It's made from red Rhône varietals.,https://www.winemag.com/buying-guide/resign-2017-rose-california-303293/,California,Resign 2017 Rosé (California),Resign,,
46,46,46.0,15.2%,"Yountville, Napa, California, US",750 ml,Red,86,"$85,  Buy Now",This vineyard-designate has a sweet nose of oak and corresponding thick ripe richness on the palate—a full-bodied take that's generous in tannin and flavors of vanilla and coconut.,https://www.winemag.com/buying-guide/rocca-2014-grigsby-cabernet-sauvignon-yountville/,Cabernet Sauvignon,Rocca 2014 Grigsby Cabernet Sauvignon (Yountville),Rocca,,
47,47,47.0,14.4%,Blue Victorian Winery,750 ml,Red,86,"$42,  Buy Now","A heavy oak influence gives this full-bodied wine smoky, charred aromas and flavors that dampen the fruity components that may have been in the grapes. It's bold and spicy.",https://www.winemag.com/buying-guide/blue-victorian-winery-2016-barbera-suisun-valley/,Suisun Valley,Blue Victorian Winery 2016 Barbera (Suisun Valley),Blue Victorian Winery,,
48,48,48.0,14.5%,Carnivor,750 ml,Red,86,"$15,  Buy Now","A deep, dark color and deep, dark flavors steal the show in this extra-ripe and extremely spicy wine. Oak is the star, as cedar, clove, vanilla, cinnamon and smoke notes pervade the aromas, flavors and finish.",https://www.winemag.com/buying-guide/carnivor-2016-zinfandel-california/,California,Carnivor 2016 Zinfandel (California),Carnivor,,
49,49,49.0,14.9%,"Lodi, Central Valley, California, US",750 ml,Red,86,"$10,  Buy Now","Soft-textured and definitely fruity, this easy-going non-oaky wine is charming for its fresh raspberry aromas and red-fruit flavors. The texture is smooth and non-tannic.",https://www.winemag.com/buying-guide/collier-creek-2016-old-press-zinfandel-lodi/,Zinfandel,Collier Creek 2016 Old Press Zinfandel (Lodi),Collier Creek,,
50,50,50.0,13.5%,Formation,750 ml,Red,86,"$14.99,  Buy Now","Quite light in the glass, this twist-top bottling shows hints of hibiscus, cranberry and damp herbs on the nose. The palate offers tart flavors of tomato and orange rind, lifted by fresh herbs.",https://www.winemag.com/buying-guide/formation-2015-pinot-noir-monterey-303846/,Monterey,Formation 2015 Pinot Noir (Monterey),Formation,,
51,51,51.0,12.2%,Gray Ghost,750 ml,White,86,"$18,  Buy Now","Fresh honeydew, aloe and juniper flavors mingle in this medium-bodied Vidal Blanc, while the nose is fainter, with soft notes of lemon and limestone. There's a sweetness to the wine, but it's tempered by a spicy strain that helps keep it aloft. This is an easy, approachable wine.",https://www.winemag.com/buying-guide/gray-ghost-2017-vidal-blanc-virginia/,Virginia,Gray Ghost 2017 Vidal Blanc (Virginia),Gray Ghost,,
52,52,52.0,12%,"Virginia, Virginia, US",750 ml,Sparkling,86,"$35,  Buy Now","This is a soft, open wine, lightly flavored with raspberry and dried sage. This is a fun wine, marked by frail bubbles and light acidity.",https://www.winemag.com/buying-guide/horton-nv-erotes-sparkling-virginia/,Sparkling Blend,Horton NV Erotes Sparkling (Virginia),Horton,,
53,53,53.0,12.5%,"Texas, Texas, US",750 ml,White,86,"$10,  Buy Now","Aromas of orange blossoms, lemon peels and yellow apples are pleasant on the nose. The palate offers ripe orange, lime juice and lime leaves, but the dry finish is astringent and sweeps away those juicy citrus flavors.",https://www.winemag.com/buying-guide/llano-estacado-2017-signature-series-pinot-grigio-texas/,Pinot Grigio,Llano Estacado 2017 Signature Series Pinot Grigio (Texas),Llano Estacado,,
54,54,54.0,13.5%,"Texas, Texas, US",750 ml,Rose,86,"$10,  Buy Now","Aromas of lemon oil and citrus blossom are wrapped in an herbal haze on the nose of this Sauvignon Blanc that's blended with 23% Chenin Blanc and 1% each of Marsanne and Viognier. The palate is dry and astringent, with spry lemon-lime acidity and flavors of ripe apple, blossoms and a whisper of salinity.",https://www.winemag.com/buying-guide/llano-estacado-2017-signature-series-sauvignon-blanc-texas/,Sauvignon Blanc,Llano Estacado 2017 Signature Series Sauvignon Blanc (Texas),Llano Estacado,,
55,55,55.0,14.8%,"Horse Heaven Hills, Columbia Valley, Washington, US",750 ml,Red,86,"$44,  Buy Now","Light aromas of cherry, vanilla and spice lead to full-bodied fruit flavors backed by dry, grippy tannins that come off as quite aggressive out of the gate but calm down a bit with a day open.",https://www.winemag.com/buying-guide/maryhill-2015-vineyard-series-mckinley-springs-vineyard-cabernet-sauvignon-horse-heaven-hills-304188/,Cabernet Sauvignon,Maryhill 2015 Vineyard Series McKinley Springs Vineyard Cabernet Sauvignon (Horse Heaven Hills),Maryhill,,
56,56,56.0,14.5%,Maxville,750 ml,White,86,"$34,  Buy Now","Floral and herbal, this wine offers bright, persistent acidity around a full-bodied embrace of ripe peach and pineapple.",https://www.winemag.com/buying-guide/maxville-2016-sauvignon-blanc-napa-valley/,Napa Valley,Maxville 2016 Sauvignon Blanc (Napa Valley),Maxville,,
57,57,57.0,13.8%,"Texas High Plains, Texas, US",750 ml,Red,86,"N/A,  Buy Now","Blueberry and black raspberry aromas are slightly overripe on the nose. The palate remains ripe in feel, with baked blueberry and tart cranberry. Oaky tones add weight and dusty tannins quickly sweep in, somewhat smothering the flavors. The finish is mild and slightly bitter.",https://www.winemag.com/buying-guide/mcpherson-2016-evs-windblown-red-texas-high-plains/,Red Blend,McPherson 2016 EVS Windblown Red (Texas High Plains),McPherson,,
58,58,58.0,13.5%,"Mendocino, Mendocino County, California, US",750 ml,White,86,"$14,  Buy Now","The aromas of this medium-bodied wine overflow with apples and peaches, and the flavors are crisp, fruity and clean. The mouthfeel is rather rich for the varietal and backed by a nip of good acidity.",https://www.winemag.com/buying-guide/parducci-2017-small-lot-pinot-gris-mendocino/,Pinot Gris,Parducci 2017 Small Lot Pinot Gris (Mendocino),Parducci,,
59,59,59.0,13.1%,Pedernales,750 ml,White,86,"$30,  Buy Now","This white offers aromas of white flowers, orange peels, apricots and peaches that mingle with notes of grass and white pepper. The palate has a creamy mouthfeel, rounding out flavors of lemonade, white peach juice, lemon balm and gooseberry. The orange oil finish has a faint bitter lime edge.",https://www.winemag.com/buying-guide/pedernales-2015-albarino-texas/,Texas,Pedernales 2015 Albariño (Texas),Pedernales,,
60,60,60.0,13.5%,The Seeker,750 ml,White,86,"$14,  Buy Now","An earthy, buttery aroma leads to warm peach and spice flavors. This wine has a nicely rich texture and is light on fruitiness and acidity.",https://www.winemag.com/buying-guide/the-seeker-2016-chardonnay-california/,California,The Seeker 2016 Chardonnay (California),The Seeker,,
61,61,61.0,12.6%,"Virginia, Virginia, US",750 ml,Red,86,"$38,  Buy Now","This wine is fruity in nature, with soft tannins, oak spice and red-berry flavors. It has a juicy aftertaste that blends with the fruitiness.",https://www.winemag.com/buying-guide/veramar-2017-jb-winemaker-series-tannat-virginia/,Tannat,Veramar 2017 JB Winemaker Series Tannat (Virginia),Veramar,,
62,62,62.0,12.6%,Wilson Creek,750 ml,White,86,"$30,  Buy Now","Strong lemon-peel, Pink Lady apple and orange-blossom aromas show on the nose of this bottling. The palate starts slightly sweet and grows much sweeter toward the finish, with ripe pear and apple flavors, but not much acidity.",https://www.winemag.com/buying-guide/wilson-creek-2016-orange-muscat-california/,California,Wilson Creek 2016 Orange Muscat (California),Wilson Creek,,
63,63,63.0,14.2%,"Carneros, Napa-Sonoma, California, US",750 ml,White,86,"$40,  Buy Now","A broadly defined, simply structured white, this has expansive richness on the palate and measured acidity on offer. Green apple, lime and lemon custard provide varietal character.",https://www.winemag.com/buying-guide/windvane-2016-estate-grown-chardonnay-carneros/,Chardonnay,WindVane 2016 Estate Grown Chardonnay (Carneros),WindVane,,
64,64,64.0,14%,Telios,750 ml,Red,86,"$15,  Buy Now","This medium-bodied wine has good fresh fruit flavors that verge on jammy, boosted by a sweet-seeming oak character that includes vanilla, maple and brown sugar accents. It's smooth in texture and light in tannin content for this varietal.",https://www.winemag.com/buying-guide/telios-2016-cabernet-sauvignon-lodi-303275/,Lodi,Telios 2016 Cabernet Sauvignon (Lodi),Telios,,
65,65,65.0,14.6%,"Red Mountain, Columbia Valley, Washington, US",750 ml,Red,85,"$45,  Buy Now","Baking spice, vanilla, licorice and dried cherry aromas are followed by dried-out-seeming fruit flavors. Dry tannins and cranberry flavors fill it out. It seems quite evolved for its age.",https://www.winemag.com/buying-guide/auclair-2015-heart-of-the-hill-vineyard-cabernet-sauvignon-red-mountain-304191/,Cabernet Sauvignon,Auclair 2015 Heart of the Hill Vineyard Cabernet Sauvignon (Red Mountain),Auclair,,
